SR. No,Rider ID,Rider Name,Phone,Darkstore ID,Darkstore Name,City,Vehicle Type,Status,Exp (Yrs),Avg Del/Day,Rating,earnings_per_hour,deliveries_accepted_triggers,total_deliveries_trigger,DPDT_percent
1,RDR-CHE-5001,Girish Singh,+91 7896233790,DS-CHE-2801,Blinkit  -  Vadapalani Zone,Chennai,Electric Scooter,Active,3.8,36,4.6,370,7,10,70
2,RDR-CHE-5002,Venkat Patel,+91 9553035110,DS-CHE-2801,Blinkit  -  Vadapalani Zone,Chennai,Bicycle,Active,1.5,34,3.5,206,27,27,100
3,RDR-CHE-5003,Ganesh Iyer,+91 9853041955,DS-CHE-2801,Blinkit  -  Vadapalani Zone,Chennai,Petrol Scooter,Active,3.2,40,4.8,171,29,41,71
4,RDR-CHE-5004,Salman Rajan,+91 7849621470,DS-CHE-2801,Blinkit  -  Vadapalani Zone,Chennai,Petrol Scooter,Active,1.5,39,4,288,20,20,100
5,RDR-CHE-5005,Deepak Joshi,+91 7485451171,DS-CHE-2801,Blinkit  -  Vadapalani Zone,Chennai,Electric Bike,On Leave,4.1,38,4.2,120,30,30,100
6,RDR-CHE-5006,Anil Rao,+91 8184611066,DS-CHE-2801,Blinkit  -  Vadapalani Zone,Chennai,Petrol Scooter,Inactive,3.3,42,4,202,16,35,46
7,RDR-CHE-5007,Ganesh Iyer,+91 7149203558,DS-CHE-2801,Blinkit  -  Vadapalani Zone,Chennai,Petrol Scooter,On Leave,4.9,42,3.8,221,30,34,88
8,RDR-CHE-5008,Vijay Joshi,+91 8586845604,DS-CHE-2801,Blinkit  -  Vadapalani Zone,Chennai,Petrol Scooter,Active,2.2,21,4.5,314,24,31,77
9,RDR-CHE-5009,Nandhu Rao,+91 9795822698,DS-CHE-2801,Blinkit  -  Vadapalani Zone,Chennai,Electric Scooter,On Leave,2.9,22,3.7,430,30,36,83
10,RDR-CHE-5010,Dinesh Mishra,+91 9838908273,DS-CHE-2801,Blinkit  -  Vadapalani Zone,Chennai,Petrol Scooter,On Leave,4.3,39,3.6,187,14,22,64
11,RDR-CHE-5011,Karthik Rajan,+91 8530747414,DS-CHE-2190,Zepto  -  Puzhal Mini,Chennai,Electric Scooter,Active,4.7,43,4.6,472,42,42,100
12,RDR-CHE-5012,Rajesh Pillai,+91 8524806516,DS-CHE-2190,Zepto  -  Puzhal Mini,Chennai,Electric Bike,On Leave,1.1,19,3.9,199,43,43,100
13,RDR-CHE-5013,Srikanth Sen,+91 8902099969,DS-CHE-2190,Zepto  -  Puzhal Mini,Chennai,Petrol Scooter,Inactive,2.3,22,5,459,32,50,64
14,RDR-CHE-5014,Sanjay Roy,+91 8197613238,DS-CHE-2190,Zepto  -  Puzhal Mini,Chennai,Petrol Scooter,Inactive,1.2,20,4.7,251,27,44,61
15,RDR-CHE-5015,Vinod Bose,+91 7513140753,DS-CHE-2190,Zepto  -  Puzhal Mini,Chennai,Electric Scooter,Inactive,2.9,32,4.8,230,7,10,70
